Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Family_size,Alone,Embarked_Q,Embarked_S
0,2,1,2.8156566450619374,0,0,-0.4472471617720605,1,1,0.0,1.0
0,1,1,-0.10463740114712752,1,0,0.9983046116258072,2,0,0.0,0.0
0,1,1,0.9712604053509489,1,0,0.3897798924259045,2,0,0.0,1.0
1,3,1,-0.10463740114712752,0,0,-0.5132169952388245,1,1,0.0,0.0
0,3,1,-0.6425863043961658,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,0,-0.8731358343600393,2,0,-0.2959772122182114,3,0,0.0,1.0
1,3,0,-1.180535207645204,1,0,-0.4322875722275151,2,0,0.0,0.0
0,3,0,0.8175607187083667,1,0,-0.4679207215444198,2,0,0.0,1.0
0,2,0,-0.1814872444684187,1,0,-0.23546923239667172,2,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,0.0
1,2,0,-2.025883484179407,1,2,0.17959937371780443,4,0,0.0,0.0
1,3,0,-0.7962859910387481,0,0,-0.5001069329441574,1,1,1.0,0.0
0,3,1,-0.10463740114712752,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,-0.10463740114712752,1,0,-0.34640052873616106,2,0,1.0,0.0
1,3,0,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
0,3,1,-0.10463740114712752,2,0,-0.22177022576507513,3,0,0.0,0.0
0,3,0,-0.8731358343600393,1,0,-0.30001107753964734,2,0,0.0,1.0
0,3,1,-1.7184841108942424,4,1,0.14144505857500225,6,0,0.0,1.0
0,3,1,-0.6425863043961658,0,0,-0.5017043436114461,1,1,0.0,1.0
1,1,0,1.5092093085999871,1,0,0.8885512039601773,2,0,0.0,0.0
1,2,0,-0.027787557825836348,1,0,-0.13462259936077234,2,0,0.0,1.0
0,1,1,2.738806801740646,0,1,0.5910536365042739,2,0,0.0,0.0
1,1,1,-0.10463740114712752,0,0,0.05698600340743651,1,1,0.0,1.0
1,2,0,-0.6425863043961658,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,1,-0.06621247948648194,0,0,-0.5132169952388245,1,1,0.0,0.0
1,2,0,-1.8721837975368247,1,2,-0.09932627779820755,4,0,0.0,1.0
0,3,1,-1.4110847376090776,5,2,0.2869163267292871,8,0,0.0,1.0
0,3,1,-0.5657364610748746,0,0,-0.5132169952388245,1,1,0.0,0.0
1,1,0,0.6638610320657843,0,0,0.954521037426941,1,1,0.0,1.0
0,1,1,1.2018099353148226,1,0,1.024609447386891,2,0,0.0,1.0
0,3,1,-1.949033640858116,3,2,-0.09630087880713059,6,0,0.0,1.0
0,1,1,-0.10463740114712752,0,0,-0.09991522213513719,1,1,0.0,0.0
1,3,1,-0.10463740114712752,1,1,-0.3515275715597062,3,0,0.0,0.0
1,2,0,-0.027787557825836348,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,1,-0.7962859910387481,0,0,-0.49447767388809355,1,1,0.0,1.0
1,3,0,-0.9499856776813305,4,2,-0.4991831777855486,7,0,0.0,1.0
0,3,1,-0.2583370877897099,2,0,-0.48430829941275344,3,0,0.0,1.0
0,2,1,0.20276197213803718,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,0,-1.0268355210026217,5,2,0.2869163267292871,8,0,0.0,1.0
0,2,1,-0.6425863043961658,0,0,0.8234204144802719,1,1,0.0,1.0
0,3,1,-0.2583370877897099,1,0,-0.3674936105019498,2,0,0.0,0.0
1,3,1,0.20276197213803718,0,0,0.48045715098646385,1,1,0.0,1.0
0,3,1,-0.33518693111100106,0,0,-0.5047297426025231,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.49666201195965115,1,1,0.0,1.0
1,2,1,-2.192647644186609,0,2,-0.0741146195392327,3,0,0.0,1.0
1,3,0,0.04906228549545483,0,0,-0.40741274172288017,1,1,0.0,1.0
0,3,1,-0.5657364610748746,0,0,-0.47750115168283025,1,1,0.0,1.0
1,3,1,-0.027787557825836348,0,0,-0.4674164883792403,1,1,0.0,1.0
1,3,0,-0.10463740114712752,0,0,-0.5019564601940358,1,1,1.0,0.0
0,1,1,-0.10463740114712752,0,0,0.29095019205072314,1,1,0.0,1.0
1,2,0,-0.9499856776813305,0,0,-0.4472471617720605,1,1,0.0,1.0
1,3,0,0.27961181545932834,3,0,-0.3393412644236481,4,0,0.0,1.0
0,3,1,-1.0268355210026217,1,3,0.03429551097435914,5,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.49666201195965115,1,1,0.0,1.0
1,1,0,-0.48888661775358344,3,2,4.645507806540859,6,0,0.0,1.0
0,3,1,-0.41203677443229225,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,-0.027787557825836348,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,-0.719436147717457,0,0,-0.500611166109337,1,1,0.0,1.0
0,1,1,1.2786597786361138,1,0,0.5748334640467798,2,0,0.0,1.0
0,3,1,-0.2583370877897099,1,2,-0.2440411962047232,4,0,0.0,1.0
0,3,1,2.277707741812899,0,0,-0.512797473245395,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.49666201195965115,1,1,0.0,1.0
0,1,1,3.1999058616683933,0,0,0.03992678696308383,1,1,0.0,0.0
1,1,1,-0.48888661775358344,0,1,0.6188691548282357,2,0,0.0,0.0
1,2,0,0.35646165878061953,0,1,-0.19513057918231197,2,0,0.0,1.0
0,2,1,0.35646165878061953,1,0,-0.13462259936077234,2,0,0.0,1.0
0,3,0,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
0,1,1,-0.6425863043961658,0,1,0.8998117390049656,2,0,0.0,1.0
0,3,1,0.27961181545932834,0,0,-0.4844757048235931,1,1,0.0,1.0
0,3,1,0.5870111887444931,2,0,-0.4991831777855486,3,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
1,3,0,-0.6425863043961658,0,0,-0.5047297426025231,1,1,0.0,1.0
1,3,1,-0.10463740114712752,0,0,-0.5022085767766257,1,1,0.0,1.0
0,3,1,0.6638610320657843,0,0,-0.4997721221224783,1,1,0.0,1.0
1,3,0,-0.10463740114712752,1,0,-0.17193585358405514,2,0,1.0,0.0
0,1,1,1.3555096219574048,0,0,0.3897798924259045,1,1,0.0,1.0
0,3,0,-1.1421102859845584,1,0,-0.3674936105019498,2,0,0.0,0.0
0,3,1,-0.5657364610748746,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,0,-0.719436147717457,1,0,-0.4608614572319069,2,0,0.0,1.0
0,3,0,-0.9499856776813305,0,0,-0.3674109162628603,1,1,0.0,0.0
0,3,1,-0.6425863043961658,0,0,-0.4991831777855486,1,1,0.0,1.0
0,3,1,3.1614809400077477,0,0,-0.5027128099418051,1,1,1.0,0.0
0,2,1,-0.027787557825836348,1,0,-0.23546923239667172,2,0,0.0,1.0
0,1,1,-0.41203677443229225,0,1,4.333302766123,2,0,0.0,0.0
0,3,0,-2.1027333275006983,4,2,-0.02822940150789851,7,0,0.0,1.0
0,2,1,-0.6425863043961658,2,0,0.8234204144802719,3,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.49666201195965115,1,1,0.0,1.0
0,2,1,0.24118689379868277,1,0,-0.05251730460826452,2,0,0.0,0.0
1,2,0,0.24118689379868277,0,0,-0.39682384525411074,1,1,0.0,1.0
0,1,1,1.893458525206443,0,1,0.8998117390049656,2,0,0.0,1.0
1,3,1,-1.3342348942877864,1,0,-0.4322875722275151,2,0,0.0,0.0
0,3,1,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
1,3,1,-0.41203677443229225,0,0,-0.5149818113169526,1,1,0.0,1.0
1,3,0,-0.10463740114712752,1,1,-0.2080732360661393,3,0,0.0,0.0
0,3,1,1.2018099353148226,0,0,-0.5183440380623695,1,1,0.0,1.0
0,3,1,0.27961181545932834,0,0,-0.4997721221224783,1,1,0.0,0.0
0,3,1,-0.719436147717457,0,0,-0.5168313385668311,1,1,0.0,1.0
0,3,0,1.3555096219574048,1,0,-0.36656985534334097,2,0,0.0,1.0
1,2,0,-0.027787557825836348,1,0,-0.13462259936077234,2,0,0.0,1.0
0,2,1,-0.33518693111100106,0,0,-0.39682384525411074,1,1,0.0,1.0
0,2,1,-0.48888661775358344,0,0,-0.35556143688114217,1,1,0.0,0.0
1,1,0,-0.7962859910387481,0,2,-0.12890862913295828,3,0,0.0,1.0
0,1,1,0.5870111887444931,1,0,0.4119661516938024,2,0,0.0,1.0
0,3,1,-1.0268355210026217,0,0,-0.4731304586070544,1,1,0.0,1.0
0,1,1,-0.41203677443229225,0,0,0.9383855761411972,1,1,0.0,0.0
0,3,0,-0.10463740114712752,0,2,-0.3515275715597062,3,0,0.0,0.0
1,3,0,-0.5657364610748746,0,0,-0.5027128099418051,1,1,0.0,1.0
1,3,0,-0.41203677443229225,1,0,-0.3393412644236481,2,0,0.0,1.0
0,3,1,-0.7962859910387481,0,0,-0.522882136548985,1,1,1.0,0.0
0,2,1,-0.8731358343600393,0,0,-0.42707783516488057,1,1,0.0,1.0
0,2,1,-0.7962859910387481,1,1,0.08219766166641136,3,0,0.0,1.0
1,3,1,-0.1814872444684187,0,0,-0.5017890547831962,1,1,0.0,1.0
0,3,0,-1.56478442425166,2,2,0.03429551097435914,5,0,0.0,1.0
0,2,1,0.5485862670838475,0,2,-0.13462259936077234,3,0,0.0,1.0
0,2,1,0.9712604053509489,0,0,-0.39682384525411074,1,1,0.0,1.0
0,2,1,1.6629089952425695,0,0,-0.4064042753925212,1,1,0.0,1.0
1,1,0,-0.5657364610748746,1,0,0.6842520608907307,2,0,0.0,1.0
0,3,1,2.00873329018838,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,0.8559856403690123,0,2,-0.36656985534334097,3,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.5115368903324463,1,1,0.0,1.0
0,1,1,1.6629089952425695,0,1,0.578952040539966,2,0,0.0,0.0
1,3,0,-1.0268355210026217,0,0,-0.5030496376961451,1,1,1.0,0.0
0,3,1,0.04906228549545483,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.48430829941275344,1,1,0.0,1.0
0,3,1,-0.10463740114712752,8,2,0.7437515743819113,11,0,0.0,1.0
0,3,1,1.1249600919935314,0,1,-0.33429893277185313,2,0,0.0,1.0
1,2,0,0.8175607187083667,0,0,-0.3413581970843661,1,1,0.0,1.0
0,3,1,-0.2583370877897099,0,0,-0.5022085767766257,1,1,0.0,1.0
0,3,1,-0.9499856776813305,0,0,-0.48430829941275344,1,1,0.0,1.0
0,3,1,-2.1795831708219895,4,1,0.14144505857500225,6,0,0.0,1.0
1,3,1,-1.56478442425166,0,2,-0.2450496625350822,3,0,0.0,1.0
1,1,0,-0.10463740114712752,0,1,0.45028787224744415,2,0,0.0,1.0
0,3,0,1.2018099353148226,1,4,-0.09630087880713059,6,0,0.0,1.0
0,1,1,-0.10463740114712752,0,0,-0.13613529885631082,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,0.48045715098646385,1,1,0.0,1.0
0,1,1,2.4314074284554814,0,0,0.01664735019307675,1,1,0.0,1.0
0,3,1,-1.949033640858116,4,1,-0.07159345371333521,6,0,1.0,0.0
1,3,0,-2.1795831708219895,1,1,-0.43447392723173345,3,0,0.0,1.0
0,3,1,-0.6425863043961658,0,0,-0.4991831777855486,1,1,0.0,1.0
0,1,1,2.0471582118490255,0,0,-0.039911475478777096,1,1,0.0,0.0
0,3,1,-0.8731358343600393,1,1,-0.500611166109337,3,0,0.0,1.0
0,3,1,-0.10463740114712752,3,1,-0.1453789012403814,5,0,0.0,1.0
0,1,0,1.5860591519212783,0,0,-0.07991330093879695,1,1,0.0,0.0
0,2,1,0.04906228549545483,0,0,-0.39682384525411074,1,1,0.0,1.0
0,3,1,0.5101613454232019,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,0,-0.10463740114712752,8,2,0.7437515743819113,11,0,0.0,1.0
0,2,1,-0.10463740114712752,0,0,-0.355476725709392,1,1,0.0,0.0
0,3,1,-1.56478442425166,4,2,-0.025960352264590758,7,0,0.0,1.0
1,2,1,-2.1795831708219895,2,1,0.1275786465325661,4,0,0.0,1.0
1,3,0,-1.949033640858116,0,2,-0.21479567262431237,3,0,0.0,1.0
0,1,1,-0.10463740114712752,0,0,0.34944123921154474,1,1,0.0,1.0
1,3,0,-0.10463740114712752,1,0,-0.34640052873616106,2,0,1.0,0.0
1,1,1,1.2018099353148226,0,0,-0.1235294697268234,1,1,0.0,1.0
0,3,1,0.8175607187083667,1,1,-0.34640052873616106,3,0,1.0,0.0
0,3,1,0.5101613454232019,0,0,-0.4997721221224783,1,1,0.0,1.0
1,2,0,0.20276197213803718,0,0,-0.39682384525411074,1,1,0.0,1.0
0,2,1,-0.7962859910387481,0,0,-0.39682384525411074,1,1,0.0,1.0
1,3,0,-0.7962859910387481,1,0,-0.500611166109337,2,0,0.0,1.0
1,2,1,-2.025883484179407,1,1,-0.13462259936077234,3,0,0.0,1.0
1,1,0,1.1249600919935314,0,0,-0.09991522213513719,1,1,0.0,0.0
1,1,0,2.200857898491608,0,0,2.2962007787978327,1,1,0.0,0.0
0,3,1,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
0,3,1,0.9712604053509489,0,1,-0.48951803647538805,2,0,0.0,1.0
1,3,0,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
0,2,0,-0.41203677443229225,0,0,-0.39682384525411074,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4674164883792403,1,1,0.0,1.0
0,3,1,-0.10463740114712752,8,2,0.7437515743819113,11,0,0.0,1.0
0,3,1,0.35646165878061953,0,0,-0.5280091793725301,1,1,0.0,1.0
0,3,1,1.2402348569754682,0,0,-0.5133017064105745,1,1,0.0,0.0
1,3,1,-0.8731358343600393,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,0,-2.1027333275006983,0,1,-0.4480035115198297,2,0,0.0,1.0
0,3,1,0.20276197213803718,1,0,-0.3393412644236481,2,0,0.0,1.0
1,3,1,-0.2583370877897099,0,0,-0.28009386751505716,1,1,0.0,0.0
1,3,0,-1.0268355210026217,0,0,-0.5027128099418051,1,1,1.0,0.0
1,1,1,0.8175607187083667,0,0,-0.033775966324872946,1,1,0.0,0.0
0,3,1,-0.41203677443229225,0,0,-0.5168313385668311,1,1,0.0,1.0
1,2,0,0.4333115021019107,0,0,-0.23546923239667172,1,1,0.0,1.0
0,3,1,-0.5657364610748746,0,0,-0.512797473245395,1,1,0.0,1.0
0,2,1,0.04906228549545483,0,0,-0.39682384525411074,1,1,0.0,1.0
0,3,1,-0.10463740114712752,1,0,-0.5027128099418051,2,0,1.0,0.0
1,1,0,0.12591212881674602,1,0,1.6256553802808518,2,0,0.0,0.0
1,3,0,-0.1814872444684187,0,0,-0.4991831777855486,1,1,0.0,1.0
0,2,1,0.9712604053509489,1,0,-0.11445327275359246,2,0,0.0,1.0
1,1,0,0.20276197213803718,0,0,0.8797271235695361,1,1,0.0,0.0
0,2,1,0.04906228549545483,0,0,-0.4472471617720605,1,1,0.0,1.0
1,3,1,-1.0268355210026217,0,0,-0.49666201195965115,1,1,0.0,1.0
0,2,1,-0.1814872444684187,0,0,-0.39682384525411074,1,1,0.0,1.0
0,3,1,1.6629089952425695,0,0,-0.49666201195965115,1,1,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
1,1,1,0.6638610320657843,1,0,1.1562143034987398,2,0,0.0,1.0
0,3,1,-0.5657364610748746,0,0,-0.4704418873703173,1,1,0.0,1.0
1,2,1,-0.7962859910387481,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,1,-0.6810112260568114,0,0,-0.512797473245395,1,1,0.0,1.0
0,2,1,-0.8731358343600393,0,0,-0.39682384525411074,1,1,0.0,1.0
0,3,0,-0.10463740114712752,3,1,-0.1453789012403814,5,0,0.0,1.0
1,1,0,0.4333115021019107,1,0,1.024609447386891,2,0,0.0,1.0
0,3,1,-0.027787557825836348,0,0,-0.5022085767766257,1,1,0.0,1.0
0,2,1,2.277707741812899,0,0,-0.3867391819505208,1,1,0.0,1.0
1,3,0,-1.8721837975368247,4,2,-0.025960352264590758,7,0,0.0,1.0
0,2,1,-0.41203677443229225,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,0,-0.10463740114712752,0,0,-0.5067466752632411,1,1,0.0,1.0
0,2,1,1.1249600919935314,1,0,-0.13462259936077234,2,0,0.0,1.0
1,2,0,-1.6416342675729512,0,2,-0.12958026770897738,3,0,0.0,1.0
0,2,1,-0.7962859910387481,0,0,-0.4472471617720605,1,1,0.0,1.0
0,2,1,0.27961181545932834,0,0,-0.4114466070443162,1,1,0.0,1.0
0,3,0,-0.10463740114712752,1,0,-0.3674936105019498,2,0,0.0,0.0
1,3,0,-0.10463740114712752,1,0,-0.34640052873616106,2,0,1.0,0.0
0,2,1,-0.027787557825836348,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,1,-0.5657364610748746,0,0,-0.5153186390712925,1,1,0.0,1.0
0,3,1,0.04906228549545483,0,0,-0.5133017064105745,1,1,0.0,0.0
0,1,1,1.1249600919935314,2,0,1.1562143034987398,3,0,1.0,0.0
0,3,0,-0.33518693111100106,0,0,-0.5022085767766257,1,1,0.0,1.0
1,2,0,-0.41203677443229225,0,2,-0.36656985534334097,3,0,0.0,1.0
1,1,1,0.5870111887444931,1,1,0.4009577332316036,3,0,0.0,1.0
0,2,1,1.893458525206443,1,0,-0.13462259936077234,2,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.512797473245395,1,1,0.0,1.0
0,3,0,-0.027787557825836348,1,1,-0.4480035115198297,3,0,0.0,1.0
0,1,1,2.5082572717767726,0,0,-0.1235294697268234,1,1,0.0,1.0
0,3,1,0.04906228549545483,1,0,-0.33429893277185313,2,0,0.0,1.0
0,3,0,0.8944105620296577,0,2,-0.2513525770998259,3,0,0.0,1.0
1,3,0,-0.027787557825836348,0,2,-0.3515275715597062,3,0,0.0,0.0
1,1,0,-0.10463740114712752,0,0,0.9383855761411972,1,1,0.0,0.0
1,1,0,0.04906228549545483,0,0,1.0856216603736104,1,1,0.0,1.0
1,1,0,0.4333115021019107,0,0,9.674309874047733,1,1,0.0,0.0
1,2,0,1.5860591519212783,0,1,-0.13462259936077234,2,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
1,3,1,-2.025883484179407,4,2,-0.025960352264590758,7,0,0.0,1.0
0,1,1,1.7397588385638607,1,1,0.9474617731144283,3,0,0.0,1.0
0,1,1,0.8175607187083667,0,0,0.5569331866829076,1,1,0.0,1.0
0,3,0,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
0,2,1,0.5101613454232019,0,0,-0.4472471617720605,1,1,0.0,1.0
0,3,1,-1.0268355210026217,4,1,0.14144505857500225,6,0,0.0,1.0
1,3,1,-0.33518693111100106,1,0,-0.5022085767766257,2,0,0.0,1.0
1,1,0,2.200857898491608,0,1,2.436210193306893,2,0,0.0,1.0
1,1,0,0.4333115021019107,0,0,2.0766072353621614,1,1,0.0,1.0
0,1,1,-0.10463740114712752,0,0,-0.033775966324872946,1,1,0.0,1.0
1,3,1,-0.33518693111100106,0,0,-0.49666201195965115,1,1,0.0,1.0
1,2,0,0.8944105620296577,0,1,-0.26572322230744155,2,0,0.0,1.0
0,1,1,0.5870111887444931,0,1,-0.0599960909142068,2,0,0.0,0.0
1,3,0,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
1,1,0,2.585107115098064,1,0,0.9133413232930618,2,0,0.0,1.0
0,3,0,1.2018099353148226,0,0,-0.5027128099418051,1,1,0.0,1.0
0,2,1,-0.10463740114712752,0,0,-0.37161218699513593,1,1,0.0,1.0
0,3,1,-1.7184841108942424,4,1,-0.07159345371333521,6,0,1.0,0.0
1,3,0,0.4333115021019107,1,1,-0.25059622735205667,3,0,0.0,1.0
0,3,1,2.738806801740646,0,0,-0.5027128099418051,1,1,1.0,0.0
0,3,1,-0.10463740114712752,0,0,-0.500611166109337,1,1,0.0,1.0
0,3,1,-1.0268355210026217,0,0,-0.4674164883792403,1,1,0.0,1.0
1,3,1,-0.7962859910387481,0,0,-0.49666201195965115,1,1,0.0,1.0
0,1,1,-0.10463740114712752,0,0,-0.13462259936077234,1,1,0.0,1.0
0,3,1,0.27961181545932834,0,0,-0.48430829941275344,1,1,0.0,0.0
1,3,1,0.04906228549545483,0,0,-0.4674164883792403,1,1,0.0,1.0
0,3,1,-0.5657364610748746,0,0,-0.4997721221224783,1,1,0.0,1.0
1,2,1,0.9712604053509489,0,0,-0.39682384525411074,1,1,0.0,1.0
1,3,0,-0.5657364610748746,0,0,-0.5027128099418051,1,1,1.0,0.0
1,1,0,-0.2583370877897099,0,0,0.9313263118286841,1,1,0.0,1.0
1,1,0,-0.7962859910387481,1,0,1.1779810407732083,2,0,0.0,0.0
0,2,1,0.5101613454232019,0,0,-0.39934501108000825,1,1,0.0,0.0
0,3,0,-0.41203677443229225,0,0,-0.4805265506739072,1,1,0.0,1.0
0,3,1,-0.41203677443229225,0,0,-0.4997721221224783,1,1,0.0,1.0
0,1,1,-0.10463740114712752,0,0,-0.09991522213513719,1,1,0.0,0.0
0,3,1,-0.45046169609293785,0,0,-0.5132169952388245,1,1,0.0,0.0
0,1,0,-2.1027333275006983,1,2,2.3976363561706617,4,0,0.0,1.0
1,1,1,-0.10463740114712752,0,0,-0.043860629628462884,1,1,0.0,1.0
1,1,0,1.5860591519212783,0,1,4.333302766123,2,0,0.0,0.0
1,3,0,-0.10463740114712752,0,0,-0.5027128099418051,1,1,1.0,0.0
1,3,1,-0.10463740114712752,2,0,-0.190088247530517,3,0,1.0,0.0
0,3,1,-0.7962859910387481,0,0,-0.49666201195965115,1,1,0.0,1.0
1,2,0,-0.10463740114712752,0,0,-0.4099339075487777,1,1,1.0,0.0
0,3,1,-0.10463740114712752,0,0,-0.49666201195965115,1,1,0.0,1.0
1,1,1,-2.1857311582876924,1,2,2.3976363561706617,4,0,0.0,1.0
1,1,0,-0.10463740114712752,0,0,1.5774164018344594,1,1,0.0,0.0
1,1,0,-0.9499856776813305,1,0,1.5374145763744398,2,0,0.0,0.0
0,2,1,0.04906228549545483,1,0,-0.1749612525751321,2,0,0.0,0.0
1,1,0,0.04906228549545483,0,0,0.4891985371380156,1,1,0.0,0.0
1,1,0,-0.41203677443229225,0,0,1.0182218216503973,1,1,0.0,0.0
1,1,0,-0.8731358343600393,2,2,4.632901977411372,5,0,0.0,0.0
0,2,0,-0.2583370877897099,1,1,-0.13462259936077234,3,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
0,2,1,1.0481102486722402,1,1,-0.12958026770897738,3,0,0.0,1.0
1,3,0,-0.2583370877897099,0,0,-0.500611166109337,1,1,0.0,1.0
1,2,0,-0.41203677443229225,1,0,-0.13462259936077234,2,0,0.0,1.0
0,2,1,1.893458525206443,0,0,-0.3766545186469309,1,1,0.0,1.0
1,1,0,0.12591212881674602,0,2,2.666225227800494,3,0,0.0,1.0
1,1,0,0.8175607187083667,1,1,2.0537493375182447,3,0,0.0,0.0
0,3,1,-0.5657364610748746,0,0,-0.512797473245395,1,1,0.0,1.0
0,3,1,-0.1814872444684187,0,0,-0.4997721221224783,1,1,0.0,1.0
1,2,0,0.04906228549545483,0,0,-0.4099339075487777,1,1,1.0,0.0
1,2,0,-0.5657364610748746,1,1,-0.0741146195392327,3,0,0.0,1.0
0,3,1,-0.10463740114712752,8,2,0.7437515743819113,11,0,0.0,1.0
1,1,0,0.5101613454232019,0,0,2.0766072353621614,1,1,0.0,0.0
0,3,1,2.4314074284554814,0,0,-0.5332189164351647,1,1,0.0,1.0
1,2,0,0.5101613454232019,0,0,-0.39682384525411074,1,1,0.0,1.0
1,3,0,0.12591212881674602,1,1,-0.2450496625350822,3,0,0.0,1.0
1,1,0,-1.0268355210026217,0,1,0.5103763300755544,2,0,0.0,0.0
1,3,0,-0.10463740114712752,2,0,-0.190088247530517,3,0,1.0,0.0
0,1,1,1.2402348569754682,0,0,-0.08419928284282265,1,1,0.0,1.0
0,1,1,0.6638610320657843,0,1,2.436210193306893,2,0,0.0,1.0
0,3,1,-1.0268355210026217,2,0,-0.2959772122182114,3,0,0.0,1.0
1,1,0,-0.10463740114712752,1,0,2.036605409902142,2,0,0.0,1.0
0,3,1,-0.10463740114712752,0,0,-0.4997721221224783,1,1,0.0,1.0
